,user_id,label,all_launch_count,last_launch,all_video_count,last_video,all_video_day,all_action_count,last_action,all_action_day,register_type,device_type,register_day,multi
0,8,1,6,15,0,0,0,183,15,6,0,34,1,2|1|8
1,129,1,2,11,0,0,0,3,11,2,1,43,4,3|1|4
2,228,1,3,16,0,0,0,46,16,3,2,13,5,6|4|5
3,398,0,2,7,0,0,0,28,7,2,1,66,1,2|5|7
4,409,0,1,7,0,0,0,8,7,1,0,43,6,1|8|6
5,413,0,1,16,0,0,0,10,16,1,0,45,15,8|8|2
6,431,1,2,14,0,0,0,26,14,2,2,0,11,2|5|6
7,461,0,1,16,0,0,0,2,16,1,0,4,15,5|1|4
8,556,0,7,11,0,0,0,64,10,6,1,66,4,8|10|5
9,596,1,4,16,0,0,0,57,15,3,1,550,9,5|9|6
10,627,0,3,16,0,0,0,20,16,2,1,9,0,2|2|5
11,652,1,1,14,0,0,0,12,14,1,1,14,13,2|5|4
12,697,0,2,16,0,0,0,10,12,1,1,5,11,6|2|4
13,829,0,1,6,0,0,0,0,0,0,1,3,5,7|1|7
14,836,1,1,16,0,0,0,9,16,1,2,20,15,4|5|9
15,885,1,1,16,1,16,1,45,16,1,1,0,15,9|1|9
16,929,1,2,16,0,0,0,184,16,2,1,36,14,7|3|10
17,948,1,8,16,0,0,0,546,16,8,1,246,7,1|8|2
18,979,1,2,14,1,13,1,305,14,1,2,1801,12,10|6|4
19,1115,0,2,6,0,0,0,476,6,2,0,0,-1,8|7|3
20,1197,1,6,16,0,0,0,471,16,5,0,0,-1,3|1|7
21,1229,0,2,16,0,0,0,7,16,2,1,2499,9,6|9|7
22,1271,0,1,14,0,0,0,1,14,1,0,7972,13,6|1|9
23,1336,1,1,15,0,0,0,71,15,1,0,152,14,4|1|4
24,1341,1,12,16,0,0,0,1916,16,12,1,1609,0,7|1|3
25,1374,1,6,14,0,0,0,123,14,4,0,325,6,7|9|10
26,1504,0,9,11,0,0,0,513,11,9,0,2,2,1|10|2
27,1560,1,1,16,0,0,0,20,16,1,5,10278,15,9|3|5
28,1568,1,1,16,0,0,0,0,0,0,5,1536,15,3|6|7
29,1607,1,5,16,1,3,1,164,16,5,1,74,2,9|6|6
30,1644,0,1,8,0,0,0,13,8,1,0,25,7,1|3|9
31,1657,0,1,7,0,0,0,55,7,1,0,95,6,2|6|6
32,1764,1,1,16,0,0,0,23,16,1,0,118,15,5|7|4
33,1822,1,5,14,2,12,1,78,14,3,7,612,8,8|4|1
34,1867,1,2,13,0,0,0,0,0,0,0,47,7,10|5|9
35,1893,1,8,16,0,0,0,830,16,8,0,19,8,6|7|7
36,1914,1,13,15,0,0,0,632,15,11,0,0,-1,2|7|5
37,1927,1,12,16,0,0,0,66,16,7,0,0,-1,9|5|5
38,1988,1,9,16,3,5,1,1370,16,9,0,21,4,2|2|10
39,1995,0,1,6,0,0,0,24,6,1,0,334,5,8|6|9
40,2084,1,5,16,12,16,2,337,16,5,0,2205,11,6|2|1
41,2094,1,1,16,0,0,0,2,16,1,5,527,15,9|9|4
42,2116,0,3,16,0,0,0,231,16,2,0,0,-1,7|3|9
43,2122,1,1,15,0,0,0,0,0,0,0,11,14,1|6|7
44,2137,0,1,15,0,0,0,15,15,1,1,37,14,3|10|3
45,2322,0,1,2,0,0,0,0,0,0,2,7,1,5|1|5
46,2332,0,1,3,0,0,0,1,3,1,1,2437,2,9|9|5
47,2387,0,3,15,1,7,1,64,15,3,0,41,6,6|9|3
48,2423,1,5,15,0,0,0,77,15,4,0,0,-1,5|5|1
49,2433,1,13,16,0,0,0,2807,16,12,0,2,2,5|9|7
50,2451,1,1,5,0,0,0,7,5,1,1,199,4,2|2|1
51,2456,0,1,6,0,0,0,38,6,1,1,55,5,5|5|9
52,2461,1,16,16,0,0,0,1708,16,16,0,0,-1,5|2|2
53,2470,0,2,16,0,0,0,28,16,2,0,33,14,10|3|2
54,2513,1,1,16,0,0,0,245,16,1,1,59,15,3|7|2
55,2593,0,1,11,0,0,0,4,11,1,0,120,10,2|4|10
56,2706,1,2,2,0,0,0,0,0,0,0,0,-1,8|5|1
57,2752,1,3,16,0,0,0,28,16,3,0,0,-1,10|8|2
58,2799,1,8,16,0,0,0,1,7,1,0,799,6,1|7|4
59,2874,1,6,15,4,5,1,732,15,6,0,2,4,6|8|5
60,2965,0,3,15,0,0,0,354,15,3,1,1757,12,4|7|10
61,2993,1,16,16,15,15,12,2034,16,16,0,0,-1,3|9|3
62,2997,1,8,16,0,0,0,933,16,8,1,13,8,4|1|2
63,3007,0,1,15,0,0,0,0,0,0,4,8,14,3|3|2
64,3012,0,1,5,0,0,0,0,0,0,0,14,4,8|10|5
65,3214,1,16,16,14,15,10,1955,16,16,0,137,0,8|10|2
66,3227,0,1,16,0,0,0,0,0,0,5,1138,15,2|6|5
67,3326,0,1,16,0,0,0,1,16,1,0,46,15,9|6|6
68,3446,1,6,16,0,0,0,133,16,6,1,10,8,10|1|2
